nim;job_text_raw;label
E31180686;founder;Wirausaha Informatika
E31171096;customer service officer;Non-IT
E31160241;web developer;Programmer
E31182299;staff noc;Programmer
E31201536;freelance kerja lepas;Programmer
E31202536;freelance kerja lepas;Data Analyst
E31171061;back end developer;Programmer
E31181131;founder;Data Analyst
E31200844;staff;Programmer
E31192134;freelance kerja lepas;Wirausaha Informatika
E31201009;staff;Non-IT
E31180370;freelance kerja lepas;Wirausaha Informatika
E31181436;staff;Programmer
E31180691;founder;Wirausaha Informatika
E31170372;administrative assistant pdpt upt tik;Non-IT
E31190070;staff administrator;Non-IT
E31190416;freelance kerja lepas;Wirausaha Informatika
E31191551;freelance kerja lepas;Wirausaha Informatika
E31170715;administrasi;Non-IT
E31190957;freelance kerja lepas;Wirausaha Informatika
E31191919;freelance kerja lepas;Wirausaha Informatika
E31201146;freelance kerja lepas;Wirausaha Informatika
E31171350;programmer developer;Programmer
E31190302;teknisi laboratorium;Programmer
E31180369;freelance kerja lepas;Wirausaha Informatika
E31191888;staf;Non-IT
E31181373;freelance kerja lepas;Wirausaha Informatika
E31191447;freelance kerja lepas;Wirausaha Informatika
E31171996;beauty advisor you;Non-IT
E31160910;founder;Wirausaha Informatika
E31191116;freelance kerja lepas;Wirausaha Informatika
E31201794;founder;Wirausaha Informatika
E31190933;staff;Non-IT
E31161776;web developer;Programmer
E31182235;programmer developer;Programmer
E31192254;freelance kerja lepas;Programmer
E31201887;freelance kerja lepas;Programmer
E31191310;founder;Wirausaha Informatika
E31180575;staff;Programmer
E31160548;senior backend engineer;Programmer
E31181097;call center officer;Non-IT
E31180825;staff;Non-IT
E31202394;staff;Non-IT
E31201158;freelance kerja lepas;Wirausaha Informatika
E31201246;digital marketing;Non-IT
E31181391;staff;Non-IT
E31172208;fullstack developer web app;Programmer
E31171700;administration;Non-IT
E31191286;staff;Non-IT
E31180949;programmer;Programmer
E3117228;programmer developer;Programmer
E31190237;staff;Non-IT
E31182140;programer;Programmer
E31170384;customer service;Non-IT
E31192463;founder;Wirausaha Informatika
E31181297;staff;Wirausaha Informatika
E31191792;admin and finance staff;Non-IT
E31172013;wirausaha founder;Wirausaha Informatika
E31191709;staf;Non-IT
E31191434;staff;Programmer
E31200918;freelance kerja lepas;Wirausaha Informatika
E31190055;staff usaha pelabuhan;Wirausaha Informatika
E31190987;staff administrasi;Non-IT
E31192117;freelance kerja lepas;Wirausaha Informatika
E31180884;staff;Programmer
E31192033;staff;Programmer
E31191401;staff;Programmer
E31181971;freelance kerja lepas;Wirausaha Informatika
E31171317;web developer;Programmer
E31192159;staff data;Non-IT
E31180297;founder;Wirausaha Informatika
E31181263;staff;Non-IT
E31192214;staff;Programmer
E31190893;staff;Non-IT
E31192047;founder;Wirausaha Informatika
E31191848;fullstack developer;Programmer
E31192281;mitra rider operational;Non-IT
E31180303;staff;Non-IT
E31171257;admin dan digital marketing;Non-IT
E31190320;staff;Wirausaha Informatika
E31202339;freelance kerja lepas;Wirausaha Informatika
