nim;job_text_raw;label
E31171296;cutting machine operator;Non-IT
E31192353;founder;Wirausaha Informatika
E31201537;freelance kerja lepas;Wirausaha Informatika
E31191309;freelance kerja lepas;Programmer
E31181436;tenaga ajar informatika;Programmer
E31171061;back end developer;Programmer
E31191228;it staff teknisi;Programmer
E31192463;founder;Wirausaha Informatika
E31180365;founder;Wirausaha Informatika
E31181496;game programmer;Programmer
E31191879;founder;Wirausaha Informatika
E31191434;staff;Programmer
E31171868;information technology staff;Non-IT
E31200649;human resource;Non-IT
E31191551;freelance kerja lepas;Wirausaha Informatika
E31171444;wirausaha founder;Wirausaha Informatika
E31192259;owner;Wirausaha Informatika
E31170906;wirausaha founder;Wirausaha Informatika
E31191250;founder;Wirausaha Informatika
E31191116;freelance kerja lepas;Wirausaha Informatika
E31201246;digital marketing;Non-IT
E31180370;mitra bps;Wirausaha Informatika
E31200102;freelance kerja lepas;Wirausaha Informatika
E31202394;staff;Non-IT
E31190449;staff;Non-IT
E31172013;wirausaha founder;Wirausaha Informatika
E31190658;staff;Non-IT
E31171333;it staff teknisi;Programmer
E31181452;management trainer;Non-IT
E31170389;field coll;Non-IT
E31201939;freelance kerja lepas;Programmer
E31181091;management informatika;Programmer
E31182235;design director;Programmer
E31191433;founder;Wirausaha Informatika
E31180373;back office assistant;Non-IT
E31190445;staff;Non-IT
E31170772;engineer product;Programmer
E31171103;it staff teknisi;Programmer
E31192079;staff;Programmer
E31192281;mitra rider operational;Non-IT
E31182077;system analyst;Data Analyst
E31162061;web developer;Programmer
E31192214;staff;Programmer
E31171777;programmer developer;Programmer
E31180696;founder;Wirausaha Informatika
E31160690;graphic designer;Non-IT
E31171257;admin dan digital marketing;Non-IT
E31201546;freelance kerja lepas;Wirausaha Informatika
E31181373;sosial media and website admin;Non-IT
E31202490;freelance kerja lepas;Wirausaha Informatika
E31191195;founder;Wirausaha Informatika
E31190698;staff;Non-IT
E31200997;freelance kerja lepas;Wirausaha Informatika
E31171236;it staff teknisi;Programmer
E31182299;staff noc;Programmer
E31201536;freelance kerja lepas;Programmer
E31180638;founder;Wirausaha Informatika
E31200822;staff;Wirausaha Informatika
E31200837;founder;Wirausaha Informatika
E31190134;freelance kerja lepas;Wirausaha Informatika
E31180539;staff;Non-IT
E31190893;staff;Non-IT
E31180748;freelance kerja lepas;Wirausaha Informatika
E31181263;staff;Non-IT
E31171971;it staff teknisi;Programmer
E31201146;freelance kerja lepas;Wirausaha Informatika
E31191849;founder;Programmer
E31192293;freelance kerja lepas;Wirausaha Informatika
E31181955;support technician;Programmer
E31181131;system analyst;Data Analyst
E31171076;support specialist;Programmer
E31192120;freelance kerja lepas;Wirausaha Informatika
E31171096;customer service officer;Non-IT
E31180276;staff;Wirausaha Informatika
E31171869;programmer developer;Programmer
E31201199;founder;Wirausaha Informatika
E31191300;staff;Non-IT
E31170805;senior account manager;Non-IT
E31200912;staff;Non-IT
E31192472;freelance kerja lepas;Wirausaha Informatika
E31181297;staff;Wirausaha Informatika
E31191310;founder;Wirausaha Informatika
E31200844;staff;Programmer
E31190731;founder;Programmer
E31190596;staff;Non-IT
E31200864;freelance kerja lepas;Wirausaha Informatika
E31190993;staff;Non-IT
E31180369;admin;Wirausaha Informatika
E31192117;freelance kerja lepas;Wirausaha Informatika
E31180297;adminsitrasi marketing;Non-IT
E31182140;programer;Programmer
E31181553;staff admin;Non-IT
E31180884;staff;Programmer
E31181158;web developer;Programmer
E31170445;it staff teknisi;Programmer
E31172262;it staff teknisi;Programmer
E31181391;staff;Non-IT
E31180256;admin zoom;Non-IT
E31170217;human resources development officer;Non-IT
E31180222;freelance kerja lepas;Wirausaha Informatika
E31170384;customer service;Non-IT
E31202463;staff;Non-IT
E31180989;information technology services;Programmer
E31191708;desainer grafis;Non-IT
E31190270;staff;Non-IT
E31190279;founder;Programmer
E31171313;it staff teknisi;Programmer
E31171151;sales executive;Non-IT
E31181474;founder;Wirausaha Informatika
E31191982;staff;Non-IT
E31200917;freelance kerja lepas;Wirausaha Informatika
E31181097;call center officer;Non-IT
E31191821;founder;Wirausaha Informatika
E31192072;staff;Non-IT
E31202279;freelance kerja lepas;Programmer
E31201845;founder;Wirausaha Informatika
E31201056;freelance kerja lepas;Wirausaha Informatika
E31192202;admin produksi;Non-IT
E31182133;freelance kerja lepas;Programmer
E31180456;it staff teknisi;Programmer
E31191120;freelance kerja lepas;Programmer
E31202339;freelance kerja lepas;Wirausaha Informatika
E31190648;founder;Programmer
E31190933;staff;Non-IT
E31192221;freelance kerja lepas;Wirausaha Informatika
E31180825;staff;Non-IT
E31192285;founder;Programmer
E31180691;sales executive;Wirausaha Informatika
E31200637;freelance kerja lepas;Wirausaha Informatika
E31181049;programmer;Programmer
E31201555;freelance kerja lepas;Wirausaha Informatika
E31171996;beauty advisor you;Non-IT
E31161169;customer service;Non-IT
E31200918;freelance kerja lepas;Wirausaha Informatika
E31191709;staf;Non-IT
E31171470;staf;Non-IT
E31192033;staff;Programmer
E31171431;guru tik;Non-IT
E31171350;programmer developer;Programmer
E31201647;founder;Wirausaha Informatika
E31181280;admin;Programmer
E31201794;founder;Wirausaha Informatika
E31192347;freelance kerja lepas;Wirausaha Informatika
E31160548;senior backend engineer;Programmer
E31201228;founder;Wirausaha Informatika
E31201158;freelance kerja lepas;Wirausaha Informatika
E31191919;freelance kerja lepas;Wirausaha Informatika
E31190865;founder;Programmer
E31180332;founder;Wirausaha Informatika
E31171281;direktur utama;Wirausaha Informatika
E31190320;staff;Wirausaha Informatika
E31200251;ppic;Non-IT
E31190237;staff;Non-IT
E31171427;pranata komputer;Non-IT
E31182101;founder;Wirausaha Informatika
E31192254;freelance kerja lepas;Programmer
E31201887;freelance kerja lepas;Programmer
E31202536;freelance kerja lepas;Data Analyst
E31171799;web programmer;Programmer
E31170734;administrative assistant;Non-IT
